"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
11,"[생활불편신고]불법 주차","<불법주정차> 지금현재까지도 주차하면서 장사를 계속하고있네요종종 저런일이 일어나고 있습니다.단속을 하게되면 저런일이 없겠죠.방치하고 있으니까 수년재저런일이 일어나고있습니다 (1/2) G : 2017.07.01 13:16:25 (2/2) G : 2017.07.01 16:06:47 A :  :  [ (02-2195-1127~28)]","2017-07-01",,"2017-07-11","건설교통과","처리완료","계화면"
12,"설치해주세요","오늘 9시반쯤 어양동에서 터미널까지 택시 이용후 6800원 요금지불을 위해 만원권을 건냈는데 거스름돈을 받고 내린후 보니 2200원을 주셨더군요 천원이 부족해서 택시 트렁크부분을 손으로 치면서 세우려했는데 모른척 그냥 가시더라구요 이건 다분히 고의적이라고밖에 볼수없네요 천원더받으려고 뛰다가 넘어질뻔했습니다택시 넘버는 전북 32바 7060 입니다 개인인지 회사인지 몰라서 차넘버 올립니다 천원은 그렇다치고 사람이 차를 지는데 어째서 그냥 휙하고 가는건지 시정과 사과요구합니다해당 게시물이 '부조리 신문고'에서 이동 되었습니다.","2016-03-01","2016-03-01",,,"처리완료","부안읍"
13,"12","익산시 평동로 어퍼트 신축부지중 평동로 767-9의 건물의 스레트지붕을 어제(1/20 토)와 오늘(1/21 일) 첨부 사진과 같이 비산먼지등의 방지 대책을실시하지 아니하고 스레이트 지붕의 철거 작업을 하고 있기에, 오늘 9시15분, 9시39분 익산시청 민원실 (1577-0072)에 비산먼지 발생 방지시설을 하고 철거작업을 할 수 있도록 요청과 이의 확인을 요청 한바 &ldquo;적격한 업체에서 철거중이다&rdquo;라고 시공사에서 답한다는 라는 답변을 들었습니다.적격업체의 철거여부보다, 현재 철거하고 있는 방법이 적법한 방법 인가 의문입니다. 작업자들은 방진작업복, 방진마스크 등을 착용하고 작업하면서, 철거작업중 발생되는 스레이트 비산먼지에 의한 인근주택 거주자들의 피해는 고려하지 않는 것 같습니다. 적법한 방법으로 철거작업이 이루어질 수 있도록 시정조치 하여주십시오.","2018-01-21","2018-01-21",,,"처리중","부안읍"
14,"39-1버스 운행","모현동 오투에서 동사무소까지 너무멀어서 모현도서관에 무인민원발급기 좀 설치해주세요","2018-08-21","2018-08-21","2018-08-23","교통행정과","처리완료","줄포면"
15,"익산시유기견보호소","익산시청기초수급과직원들에게새삼,감사의말씀드리고자합니다..저는부송동사는기초수급자입니다.(.담당자:김두리씨등)그과,계장님부터,어느직원이나,다친절하기이를데없어서,새삼기초수급자가,이렇게친절히,대우받을수도있나?하고놀랐습니다..타시군,기초수급과에가보십시요...이와는아주대조적모습과태도등,쉽게발견할수있습니다..익산시청은,다이런식으로,친절하신지요...?앞으로도계속,익산에서살고싶습니다..감사합니다..(화이팅!익산시청...)","2016-09-19","2016-09-19","2016-09-22","축산과","처리완료","부안읍"
16,"(SPP-1711-1500852)가로등점멸 * 첨부파일촬영시간 안내(안전신문고 운영관","전라북도 부안군 부안읍 동중리 11-3가로등점멸*  *(1/1) C: 2017/11/15 22:57:35G:*","2017-11-15",,"2017-11-17","부안읍","처리완료","부안읍"
17,"새벽 펑하는소리","5월 8일에 가족여행으로 변산반도 대명리조트에 놀러 가게 되었습니다 그날 밤에 가족끼리 산책로를 걸어가다가 땅인 줄 알고 밟았는데 낭떠러지여서 사고를 당했습니다 바로 구급차에 실려서 심한 통증에도 불구하고 인근에 병원이 없어 한 시간을 이동해 응급실 치료를 받고 다시 돌아올 때 택시비 4만 원을 지불하고 돌아왔습니다 다음날 집으로 출발하기 전에 대명리조트 직원분들에게 산책로를 걷다가 이런 사고를 당하게 되었다고 말씀을 드리니 그쪽은 국립공원이라 본인들이 관리하는 게 아니라고 말씀하셨습니다 사고가 난 위치에 위험하다는 경고문 혹은 진입하지 못하게 막아놓았다던가 아무런 조치가 없었습니다 그래서 더 억울합니다 저는 그날 바로 제가 사는 지역인 천안으로 와서 정밀검사를 받아본 결과 발등뼈가 부러지고 발목 쪽 인대가 파혈돼서 9일부터 무려 18일 동안 입원치료를 받고 지금은 통 깁스를 하고 있습니다 병원에서 완치는 안될 거라고 하시고 깁스를 풀어도 오랜 시간 동안 재활치료를 받아야 된다고 합니다 정신이 없어서 이제야 글을 올립니다 아직 치료가 전부 끝난 것도 아니고 치료하면서 발생한 병원비 등 일절 지원 없이 본인이 부담하고 있습니다 너무 억울합니다 어떠한 조치를 취해 주실 건지 답변 부탁드립니다","2017-09-05","2017-09-05","2017-09-06","녹색환경과","처리완료","유연로"
18,"사고 위험이 높은 공단길!주차단속 요청 합니다.","* 업무에 노고가 많으십니다.안녕하세요.다름이 아니오라, 2공단 디엠테크 앞 도로의 인도 보도블럭 사이에 잡초가 무성하게 자라서 제초작업 요청드리고자 합니다.도보로 출퇴근을 하는데 잡초가 너무 무성해서 아침에 출근시 스치면 이슬과 함께 먼지등이 달라붙는 문제 및 미관상 좋지 않아 제초작업을 요청드리오니, 조치 부탁드립니다.아래 사진입니다. 참조하세요.    ** 이상입니다. 수고하세요. **     ","2018-06-01","2018-06-01","2018-06-05","교통행정과","처리완료","부안읍"
19,"민원을 흘려들으시네요. 매국노 미화 드라마 촬영한게 자랑입니까?","서울특별시 종로구 도렴동 82-6줄기나무 넝쿨을 제거하여 사고를 예방하면 좋을 듯 합니다","2016-11-09",,"2016-11-15","문화관광과","처리완료","부안읍"
20,"(SPP-1704-2400334)신호등이안들어와요","전라북도 부안군 위도면 진리 547가로등 파손","2017-04-24",,"2017-04-26","건설교통과","처리완료","세병로"
21,"찾아가는 안전교육 프로그램 운영을 통한 지역안전도 제고 방안","무인민원발급기 설치 위치 건물외부 안내","2016-05-20",,"2016-06-29","안전총괄과","처리완료","부안읍"
22,"부안군유지 임대 대부료인상이 너무나 터무니없이 비싸게 책정되어서 민원을 제기합니다","안녕하십니까?저는 민원을 제기한 유인순 입니다. 지금까지 개인땅을공공시설물로 사용해서 주인이 원상복귀를 원하면 역으로 고소를당할수도 있다고 처음저하고 전화하신분이 그렇게 말씀하셨는데요그렇다면 저는 절대로 보상받을 생각없습니다.앞으로 제자식 세대에도 문제가되는일이기 때문에 제가해결해야 되겠습니다.그리고 주인하고 협의도 하지않고 일방적으로 개인재산을 부안군청맘대로 결정하는게 말이됩니까? 다시분명히 말씀드립니다.저는 보상을원하지 않습니다.원상복귀를 원합니다.감사 합니다.","2018-01-08",,"2018-01-18","재무과","처리완료","부안읍"
23,"전북익산 유기견 보호소 관리문제","익산 유기 동물 보호소에서 동물을 다룰 때 거칠게 동물들 뒷통수를 꽉 움켜쥐질 않나 심지어 파이프까지 사용한다고 합니다. 이렇게 다루는거 봐서는 개장수가 개 다루는꼴과 더 가깝지 않나요?거기다 강아지들을 보호할 때 적절하지 않은 방법으로 보호를 해요. 발이 작은 소형견을 철장의 간격이 넓은 곳에 방치해 강아지가 계속 긴장상태를 유지할 수 밖에 없는 식으로요.더해서 시보호소에서 급여 동물 마리당 수당제로 지급하기 때문에 직원들이 애견 경매장이나 모란시장에서 동물들을 마구잡이로 들여와 사진 찍어올리고 안락사시킨다고 합니다. 같은 아이를 다른각도에서 찍어 눈속임까지 하고요.이렇게 동물학대를 일삼는 곳을 정말 보호소라고 할수 있나요.  정말 생각할수록 화나네요.저 곳에 민원 전화를 넣으니 오히려 뻔뻔하게 나온다는데 제발 빠른 시일내에 시정해주세요. 부탁드립니다.","2016-11-09","2016-11-09","2016-11-10","축산과","처리완료","부안읍"
24,"도로에 씽크홀이생겼어요","전라북도 부안군 상서면 통정리 451-39보안등 부러짐*  *(1/1) G: 2018/03/05 10:04:01G:  *","2018-03-08",,"2018-03-15","건설교통과","처리완료","부안읍"
25,"시정에 바란다..........................","시정운영에 수고가 많으십니다.고현초등학교 통학로(배산제일2차 부근 공용주차장쪽) 보도블럭에 잡초가 무성하여아이들이 할 수 없이 차도로 다니고 있습니다.안전한 통학로 확보를 위해 만든 인도가 무용지물이 되어있는 모습을 보고빠른조치가 필요할 듯하여 건의드립니다.여러 사안으로 바쁘시겠지만무엇보다도 중요한 아이들의 안전문제가 달린 일이기에빠른 시정조치 부탁드립니다.","2018-09-10","2018-09-10","2018-09-14","청소자원과","처리완료","부안읍"
26,"시장님!! 부탁드리겠습니다","안녕하세요. 저는 익산시 영등2동 제일4차 605동에 사는 지역주민이며,아이리더 어린이집 학부모입니다. 우연찮게 알게 된 익산열린신문에서 올린 기사(&ldquo;사람 잡는 방지턱&rdquo;)를 보고 경악을 금치 못하여 익산시에 글을 올립니다.사실 저는 매일 운동 삼아 아이 셋을 데리고 걸어서 어린이집에 가고자 하는 마음이 늘 있습니다. 하지만 어린이집 가는 길은 저 혼자 아이들을 데리고 갈 엄두가 나질 않습니다. 횡단보도만 덩그러니 그려져 있지만...그 길은 차량통행량과 과속, 또 양쪽으로 주차된 불법주차들 때문에 힘이 듭니다. 걸어서 5~10분이면 갈 거리를 전 늘 차로 아이들을 데려다 줍니다.차량이용 시 어린이집에 등&middot;하원을 할 때마다 역시나마 과속으로 달려오는 차와 불법 주차된 덤프트럭들로 시야가 가려져 위험천만하게 반사경을 보면서 조금씩 조금씩 앞으로 나와 집으로 가게 됩니다.저번 달에 그 횡단보도 자리에 방지턱을 설치하더군요!! 너무 반가웠습니다. 아이들을 키우는 부모로써 또한 그 길을 차량을 이용하거나 보행하기가 불안했는데...방지턱으로 인해 차량들이속도를 줄이면 사고 위험률이 낮겠구나 하는 생각을 했습니다.그런데 그 방지턱을 불과 생긴지 2주~3주만에 다시 깎고 방지턱 높이를 내리더군요!!그 이유는 바로 익산열린신문에서 기사를 올린&ldquo;사람 잡는 방지턱&rdquo;에 민원이 들어와서...깎는다고...시장님 익산은 여성친화도시이며, 저출산 문제로 인해 아이들이 행복할 수 있는 익산을 만들겠다고 지난 아빠랑 행복캠프에서 말씀하셨습니다. 아이들 양육비와 교육도 더 지원하시겠다고...근데 제일4차 부근에는 초등학교, 어린이집, 공원, 식당가, 골프장, 교회, 공장들이 들어서있고, 지역주민들이 공원과 그 뒷동네로 운동을 많이 다닙니다.  그 위험한 곳에 한 사람으로 민원으로 어찌 시에서 계획하여 진행되었던 방지턱을 한순간에 무너뜨릴 수 있습니까?? 시장님께서 직접 그 장소로 실사를 나와 보시면 아실겁니다. 그 위치가 얼마나 위험한지요...이제는 시장님께 방지턱이 아닌 신호등 설치를 요구하고 싶습니다. 작년 신호등 설치로 관할 시의원에게 건의한 바 있습니다. 관할 시의원님은 적극적으로 시민을 위해서 힘쓰셨지만, 정작 익산경찰서 도로교통과에서 승낙을 안 해 신호등 설치가 무산되었다고...그래서 결국 반사경 2개 설치가 전부였습니다. 그 횡단보도 자리는 사망사고 상해사고가 많이 접수된 곳입니다. 제가 직접 사고를 여러 번 목격을 하였고요, 어르신부터 아이들까지...같은 익산시이고 익산시민입니다. 서영등부락(공공미디어센터 앞)은 동네 입구 입구마다 100M 안 되는 거리에 신호등을 다 달았습니다. 동시신호로 진행되게끔... 시장님 제일4차 605동 뒤쪽과 공원 뒤쪽으로는 횡단보도가 아닌 신호등이 꼭 필요합니다. 아파트 뒤라고 안전지역이 아닌가요?? 605동 주민들은 과속으로 달리는 차량들로 소음도 만만치 않습니다. 그 불편을 10년을 넘게 참고 살았습니다. 도와주십시요!!  2018년 새해가 시작되었습니다. 익산시 지역주민의 안전과 행복을 위해서 꼭 신호등을 설치하여 주셨으면 합니다. 모두가 행복한 익산시민을 위해 힘써주시는 시장님 시청 관계자 선생님 꼭 부탁드리겠습니다.","2018-01-24","2018-01-24","2018-01-29","교통행정과","처리완료","변산면"
27,"농로포장","마동/동산동 방향 102번, 107번이 있는데방학 기간에는 중간중간 운행을 안 하더라고요.버스 정류장에 붙은 시간표로 예를 들면,9시 10분즈음에 102번 있고, 12~15분 뒤중간에 20분대에 102번이랑 107번, 마찬가지로 12~15분 뒤에그 다음 40분대에 102번 있는데,방학기간이라 운행을 안 해서 가운데 20분대 버스가 비어버립니다.그럼 10분 차 이후에 40분대 차로 30분이나 기다려야 하는데 1. 1시간 간격 이런 버스 말고 그래도 자주 오는 버스의 경우에는 비어버린 버스 시간 간격을 조정하거나 2. 102번이나 107번 동시에 방학기간이라고 사이에 둘 다 비어버리는 것이 아니라 102번은 운행하고 107번은 쉬고, 혹은 그 반대로 해서 시간을 조정하거나..    건의 드립니다.","2017-08-06","2017-08-06","2017-08-14","하수도과","처리완료","부안읍"
28,"익산 서산 버스","안녕하세요 익산시장님모현이편한을 분양받아 지금까지 살고있는 가정주부입니다다름이아니라 이편한 111동옆에 설치되어있는 기차청소하는 창고때문에 5년동안고통받고 있는 주민한사람으로 이렇게 글을 써봅니다 처음부터 이문제때문에 이편한주민들과 익산역과 많은 이야기는 했지만 전혀해결책도 없이 여전히 이른새벽부터 늣은밤까지 소음내면서 청소를 하고 지나가는 기차소음으로 다른동보다 2천만원씩 매매가가 낮게 거래되고 있으며 매시간 지나가는 기차소리보다 너무커서 정말 이청소하는기계가 옮길수는 없는건지 무슨 대책을 아니 해결책을 내야하는데 전혀 민원인의 소리에도 움직임없는 무책임한 역사람들 때문에 정말 속상하고 원망스럽고 그기계를 폭파하고 싶을정도로 스트레스를 받고 살고있는 주부로써 제발 대책을 세워주세요  시장님~~~","2017-05-22","2017-05-22","2017-05-26","교통행정과","처리완료","부안읍"
29,"배산지구주변 정리좀 부탁드립니다","더운여름 수고하십니다~익산시민공원에서 5살 3살을 데리고 놀아보고함열물놀이장에 사람이 없길래 일부러 찾아갔거니 입장제한을 하더군요.아이들의 안전때문에 제한을 둔다기에는 시가 책임을 회피하기 위한 거라고 생각됩니다.수도권에서 몇년을 살면서 아이들 데리고 여러군데 무료물놀이장을 다녀도 전혀 그런제한이 없었습니다. 그리고 놀이터나 강한 물뿌리는 분수시설이 있어도 제한 없었습니다. 연령대가 높은 아이들도 같이 노니까 위험할 수 있었지만 부모가 지키거나 제한을 해야하겠죠.더군다나 함열은 튜브물놀이장에 아이들 5~6명 놀고 있는데 안전요원이 셋입니다. 안전이 정말 문제라면 1:1로 놀아주면 될 문제겠네요. 세명이나 있으면서 책임자까지 두차례에 걸쳐 나타나 권위적인 태도로 제한을 두는게 할일인가 싶습니다. 제한이 있더라도 경우에 따라 탄력적으로 운영했으면 좋을텐데요.예을 들어 남양주시는 평소에는 놀이터 하절기에는 물놀이장으로 운영되어 시설이 탄력적으로 운영되고 있고 놀이시설이 다양해서 훨씬 재미있습니다. 규모도 더 크고 물살도 세지만 안전요원 한명으로 문제없이 운영되는 것으로 보였습니다.먼저 물놀이장을 운영한 다른 시들의 사례들을 참고하시면 좋겠습니다.","2017-06-14","2017-06-14","2017-06-21","축산과","처리완료","위도면"
30,"방학알바","투표 관리인 교육 좀 제대로 시키세요.삼성동 한벌초등학교 투표소에 있는 투표 관리인들 왜 이렇게 불친절 합니까?본인이 실수로 투표소를 잘 못 들어갔습니다.삼성동 한벌초 제 8번 투표소 투표자 확인하는 안경 쓴 여자 관리자.옆 건물로 가라는 말을 그렇게 기분 나쁜 표정에 불쾌한 말투로 해야겠습니까?또, 해당 투표소로 들어가 신분증을 확인하는 과정에서투표소 내부 소음에 이름을 쓰라는 말을 듣지 못하고재차 되물으니 남직원이 이름 쓰시라고요!! 라고 언성을 높이더군요.꼭 그렇게 행동해야 하는 일이었습니까?투표 관리인을 어떤 방식으로 차출하는지 모르겠다만,일단 선출을 했으면 교육을 제대로 시키세요.공무원에게 시민으로서 무슨 왕대접 받아보겠다는 것 아니지만 그렇다고 이런 납득 안되는 불친절한 취급도 받고 싶지 않네요.","2018-06-12","2018-06-12","2018-06-14","민생경제과","처리완료","부안읍"
31,"도로반사경 구입처 문의","익산시 아파트 관리사무소 직원입니다.단지내 도로반사경을 타지역인 인터넷몰이 아닌 내고향 익산제품을 애용하고자 합니다.구입처를 알려 주세요적은 돈이나마 익산시민에게 돌아가도록 하고 싶습니다.2016.07.18일 김 양 균과장(010-2812-1395)","2016-07-18","2016-07-18","2016-07-19","교통행정과","처리완료","백산면"
32,"한솔장례식장 장애인 전용 주차구역의 안내표지판 설치 미 설치","익산시의 유기동물보호소 운영관리 실태가 가히 참담합니다.민원문서답변에서는 보호소 지정동물병원에서 응급치료후 보호소 입소한다고 해놓고통화에선 입장을 바꾸는 것을 비롯해 민원인이 외부에서 치료를 해주겠다는 것도공고 전에는 내보낼 수 없다는 입장만 고수하면서 정작 치료의 의무는 하지 않고모순되어 이해되지 않는 부분이 많네요.치료도 안하면서 생명이라 안락사는 안된다는 말은 죽이지는 않으니 고통스러워도사는데 까지는 살다가 죽으라는 소리와 다르지 않아보입니다.케어와 마찬가지로  저 또한 익산시에 다음과 같이 촉구합니다.       1. 적절한 치료 시스템 마련 (고통을 덜어줄 수 있는 응급치료)      2. 인도적인 안락사 시스템 마련       3. 엄격한 입양 시스템 마련       4. 보호소 시설 개선 및 급수, 급여 등 기본적 관리 철저      5. 보호소 운영자에 대한 관리 및 교육       6. 정기적 관리 감독 이행       7. 유기동물 관리대장 및 APMS 공고, 등록 및 관리 철저- See more at: http://fromcare.org/info/notice.htm?code=notice&bbs_id=51770&page=1&Sch_Method=&Sch_Txt=&md=read#sthash.pSyX7u7t.dpuf 끝으로 민원에 대한 답변 sms 통해서건 휴대전화를 통해서건 조속히 바랍니다. 제기된 민원 검토중이라는 등 내용반영하겠다는 등의 관례적인 답변 말고요구안 7가지에 대해 구체적인 논의 내용과 진행 계획 등을 답변바랍니다.그리고 두당 75,000원의 보호비용 비롯한 재정운영내역 등 총체적인 관리실태 감사 요청합니다.    개인 민원인에게 일일이 하기 어려우면 익산시 ~과의 이름으로 공식 서면 답변 발표하면 보겠습니다.","2016-09-22","2016-09-22","2016-09-22","경로장애인과","처리완료","부안읍"
33,"부송동 우남콤비타운 앞 시의원사무소","살기좋은 익산시를 만들기 위해 노력하심에 감사드립니다.다름이 아니오라 보도블럭이 꺼짐이 발생하여 물이 고이는등 보행에 지장을 초래하고 많은 불편사항이 있는바 개선해 주셨으면 하는 마음에 글을 올립니다.감사합니다.","2018-03-14","2018-03-14","2018-03-19","녹색환경과","처리완료","부안읍"
34,,"흑염소 시장을 관촌 .우.시장 부근에다가 승인이 되게 코럼 협조편달 부탁드립니다!""""""""염소시장"""""""" 개통하면 군에 상부,상조에 가깝 씁니다!구체적인 글을 넣어야 할까요!축협조합장 아량일지 그 내막 궁금하오나.면민들에 고심가리를 덜어주는작업이라면 뭐.든지 필요한 방법으로 돌려주셨으면 해서 입니다!빠른 시일로 잡아. 개통으로 가길 원하는 바입니다!장승부.",,"전라북도 부안군 부안읍 서외리 233-2?",,"2017-03-16",,"줄포면"
35,"[안전신고] (SPP-1604-1118142)도로가 잘 보이지않습니다","6월중에 어양 쌍용 아파트로 이사한 주민 입니다처음에는 잘 몰랐으나 주로 밤에만 불어오는 고약하고 이상한 냄새로 인해 요즘같은 무더운 날씨임에도 창문을 열어 놓을수가 없습니다.전에 영등동에서 거주했을,"2016-04-25",,"2016-05-03","건설교통과","처리완료","변산면"
36,"2005년 지은 집 등재","EZ FOON MARKET(정육코너)에서 고기를 구입했습니다. 포장지 중량까지 포함한 중량이 정확했습니다.고기를 제외한 포장지 중량을 계산하여보니 약 1080이 포장이 중량이였습니다.(100g는6000원, 1g는60원, 포장지 18g, 60원곱하기18g은1080원)고기판매 시 포장지를 포함한 중량판매가 법규상 정당한지 궁금합니다.하루에도 많은 고객이 이용을 할 것으로 짐작됩니다.이용객만큼 부당이득을 취하는 것이 법규상 맞는 지 궁금합니다.  ","2017-03-07","2017-03-07","2017-03-09","함열출장소","처리완료","주산면"
37,"옆집에서 새로이사온 후 외부 계단쪽으로 하수구 매설","옆집에서 새로이사온 후 외부 계단쪽으로 하수구 매설하수구로 오폐수가 나오며 상당수의 모래도 나와 집앞 도로에 물이 고이며 하수구로 모래가 쌓임겨울철 도로가 얼어 사고위험*담장넘어 오는 넝쿨 관리요망","2017-08-10",,"2017-08-21","부안읍","처리완료","미장동"
38,"유가보조금카드(복지카드) 관련하여 질의를 드립니다.","유가보조금카드(복지카드) 관련하여 질의를 드립니다.","2017-07-25",,,"군수실","처리완료","변산면"
39,"cctv 설치와 유도선 건의합니다.","이마트 4거리 CCTV설치를 부탁드립니다.제가 동산동에 살아서 사거리를 많이 이용하는데 4차선인 이마트진입로에 불법주차된 차들로 말미암아 삼례에서 주현우체국방향으로 우회전하는 차량들이 2차, 3차선으로 나오다보니 유턴차량이나 좌회전, 직진 차량들과의 사고위험이 굉장히 높습니다.CCTV설치를 부탁드리고, 동익산역에서 주현우체국방향으로 가는 직진길도 신호받고 건널 때, 차선이 그려져 있지 않아 삼례방향의 3차선에서 끼어들기도 하고 위험합니다.꼭 부탁드리겠습니다. 이쪽 길을 지날 때마다 가슴이 조마조마합니다. ","2017-04-17","2017-04-17","2017-04-20","교통행정과","처리완료","변산면"
40,"무녀1구 부잔교 설치 요망","군산을 따나고 싶을정도의~군산시정의  잘못된 일처리를 바로잡아주세요~","2016-09-28","2016-09-28","2016-10-06","직소민원팀","처리완료","부안읍"
41,"제설작업 구간변경 요청","시외버스 예매 앱에서 익산 터미널은 예매가 안되도록 해놓았는데 그 이유가 익산 터미널에서 막아놨기 때문이랍니다.버스표 예매를 매번 터미널에 가서 직접 할수도 없고 인터넷으로 예매가 안되니 너무 불편합니다.조치가 필요하다고 생각합니다.","2018-01-11","2018-01-11","2018-01-13","도로공원과","처리완료","부안읍"
