특성별,만족도및해결방법별,항목,단위,2017 년
제주시 읍면부,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,1.1
제주시 읍면부,차량 총량제 시행,주차공간 만족도,,1
서귀포시 동부,매우 만족,주차공간 만족도,%,11.4
서귀포시 동부,약간 만족,주차공간 만족도,%,32.1
서귀포시 동부,보통이다,주차공간 만족도,%,24.5
서귀포시 동부,약간 불만족,주차공간 만족도,%,24.8
서귀포시 동부,매우 불만족,주차공간 만족도,%,7.1
서귀포시 동부,평균,주차공간 만족도,점,3.16
서귀포시 동부,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,30.1
서귀포시 동부,공영주차장 조성 확대,주차공간 만족도,,36.1
서귀포시 동부,거주자 우선 주차제 시행,주차공간 만족도,,13.8
서귀포시 동부,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,3.6
서귀포시 동부,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,7.6
서귀포시 동부,차량 총량제 시행,주차공간 만족도,,6.5
서귀포시 읍면부,매우 만족,주차공간 만족도,%,25.3
서귀포시 읍면부,약간 만족,주차공간 만족도,%,52
서귀포시 읍면부,보통이다,주차공간 만족도,%,16.1
서귀포시 읍면부,약간 불만족,주차공간 만족도,%,5.8
서귀포시 읍면부,매우 불만족,주차공간 만족도,%,0.7
서귀포시 읍면부,평균,주차공간 만족도,점,3.95
서귀포시 읍면부,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,28.3
서귀포시 읍면부,공영주차장 조성 확대,주차공간 만족도,,41.7
서귀포시 읍면부,거주자 우선 주차제 시행,주차공간 만족도,,6.3
서귀포시 읍면부,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,10.4
서귀포시 읍면부,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,6.1
서귀포시 읍면부,차량 총량제 시행,주차공간 만족도,,1.4
100만원 미만,매우 만족,주차공간 만족도,%,13.2
100만원 미만,약간 만족,주차공간 만족도,%,40
100만원 미만,보통이다,주차공간 만족도,%,32.1
100만원 미만,약간 불만족,주차공간 만족도,%,10
100만원 미만,매우 불만족,주차공간 만족도,%,4.7
100만원 미만,평균,주차공간 만족도,점,3.47
100만원 미만,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,28.2
100만원 미만,공영주차장 조성 확대,주차공간 만족도,,28.2
100만원 미만,거주자 우선 주차제 시행,주차공간 만족도,,14.2
100만원 미만,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,12.9
100만원 미만,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,5.3
100만원 미만,차량 총량제 시행,주차공간 만족도,,7.8
100~200만원 미만,매우 만족,주차공간 만족도,%,11.3
100~200만원 미만,약간 만족,주차공간 만족도,%,30.8
100~200만원 미만,보통이다,주차공간 만족도,%,32.6
100~200만원 미만,약간 불만족,주차공간 만족도,%,20.1
100~200만원 미만,매우 불만족,주차공간 만족도,%,5.2
100~200만원 미만,평균,주차공간 만족도,점,3.23
100~200만원 미만,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,37.1
100~200만원 미만,공영주차장 조성 확대,주차공간 만족도,,30.2
100~200만원 미만,거주자 우선 주차제 시행,주차공간 만족도,,13.4
100~200만원 미만,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8.5
100~200만원 미만,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,6.4
100~200만원 미만,차량 총량제 시행,주차공간 만족도,,1.8
200~300만원 미만,매우 만족,주차공간 만족도,%,12.4
200~300만원 미만,약간 만족,주차공간 만족도,%,27.2
200~300만원 미만,보통이다,주차공간 만족도,%,34.6
200~300만원 미만,약간 불만족,주차공간 만족도,%,18.7
200~300만원 미만,매우 불만족,주차공간 만족도,%,7.1
200~300만원 미만,평균,주차공간 만족도,점,3.19
200~300만원 미만,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,44.6
200~300만원 미만,공영주차장 조성 확대,주차공간 만족도,,30.2
200~300만원 미만,거주자 우선 주차제 시행,주차공간 만족도,,9.5
200~300만원 미만,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8
200~300만원 미만,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,3.8
200~300만원 미만,차량 총량제 시행,주차공간 만족도,,3.4
300~400만원 미만,매우 만족,주차공간 만족도,%,9.9
300~400만원 미만,약간 만족,주차공간 만족도,%,34.2
300~400만원 미만,보통이다,주차공간 만족도,%,34.7
300~400만원 미만,약간 불만족,주차공간 만족도,%,17
300~400만원 미만,매우 불만족,주차공간 만족도,%,4.2
300~400만원 미만,평균,주차공간 만족도,점,3.28
300~400만원 미만,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,40.6
300~400만원 미만,공영주차장 조성 확대,주차공간 만족도,,34.5
300~400만원 미만,거주자 우선 주차제 시행,주차공간 만족도,,11.5
300~400만원 미만,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,6.3
300~400만원 미만,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4
300~400만원 미만,차량 총량제 시행,주차공간 만족도,,2.5
400~500만원 미만,매우 만족,주차공간 만족도,%,10.3
400~500만원 미만,약간 만족,주차공간 만족도,%,22.9
400~500만원 미만,보통이다,주차공간 만족도,%,39.1
400~500만원 미만,약간 불만족,주차공간 만족도,%,21.2
400~500만원 미만,매우 불만족,주차공간 만족도,%,6.5
400~500만원 미만,평균,주차공간 만족도,점,3.09
400~500만원 미만,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,40.9
400~500만원 미만,공영주차장 조성 확대,주차공간 만족도,,32.1
400~500만원 미만,거주자 우선 주차제 시행,주차공간 만족도,,9.7
400~500만원 미만,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,9.1
400~500만원 미만,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4.6
400~500만원 미만,차량 총량제 시행,주차공간 만족도,,3.6
500~600만원 미만,매우 만족,주차공간 만족도,%,17
500~600만원 미만,약간 만족,주차공간 만족도,%,21.5
500~600만원 미만,보통이다,주차공간 만족도,%,38
500~600만원 미만,약간 불만족,주차공간 만족도,%,21.5
500~600만원 미만,매우 불만족,주차공간 만족도,%,2
500~600만원 미만,평균,주차공간 만족도,점,3.3
500~600만원 미만,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,35.6
500~600만원 미만,공영주차장 조성 확대,주차공간 만족도,,37.7
500~600만원 미만,거주자 우선 주차제 시행,주차공간 만족도,,12.6
500~600만원 미만,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,12.2
500~600만원 미만,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,0.5
500~600만원 미만,차량 총량제 시행,주차공간 만족도,,1.4
600~700만원 미만,매우 만족,주차공간 만족도,%,5
600~700만원 미만,약간 만족,주차공간 만족도,%,13
600~700만원 미만,보통이다,주차공간 만족도,%,48.1
600~700만원 미만,약간 불만족,주차공간 만족도,%,20.9
600~700만원 미만,매우 불만족,주차공간 만족도,%,12.9
600~700만원 미만,평균,주차공간 만족도,점,2.76
600~700만원 미만,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,25.8
600~700만원 미만,공영주차장 조성 확대,주차공간 만족도,,39.8
600~700만원 미만,거주자 우선 주차제 시행,주차공간 만족도,,18.7
600~700만원 미만,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8.7
600~700만원 미만,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,5.6
600~700만원 미만,차량 총량제 시행,주차공간 만족도,,0
700만원 이상,매우 만족,주차공간 만족도,%,16.3
700만원 이상,약간 만족,주차공간 만족도,%,40.1
700만원 이상,보통이다,주차공간 만족도,%,16.2
700만원 이상,약간 불만족,주차공간 만족도,%,19.6
700만원 이상,매우 불만족,주차공간 만족도,%,7.8
700만원 이상,평균,주차공간 만족도,점,3.38
700만원 이상,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,33.3
700만원 이상,공영주차장 조성 확대,주차공간 만족도,,47.8
700만원 이상,거주자 우선 주차제 시행,주차공간 만족도,,8.8
700만원 이상,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,5.4
700만원 이상,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,0
700만원 이상,차량 총량제 시행,주차공간 만족도,,2.8
단독주택,매우 만족,주차공간 만족도,%,15.8
단독주택,약간 만족,주차공간 만족도,%,31.5
단독주택,보통이다,주차공간 만족도,%,32.7
단독주택,약간 불만족,주차공간 만족도,%,13.7
단독주택,매우 불만족,주차공간 만족도,%,6.3
단독주택,평균,주차공간 만족도,점,3.37
단독주택,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,34.2
단독주택,공영주차장 조성 확대,주차공간 만족도,,34.6
단독주택,거주자 우선 주차제 시행,주차공간 만족도,,12.2
단독주택,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,9.5
단독주택,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4.1
단독주택,차량 총량제 시행,주차공간 만족도,,3.6
아파트,매우 만족,주차공간 만족도,%,7.4
아파트,약간 만족,주차공간 만족도,%,30.4
아파트,보통이다,주차공간 만족도,%,39.3
아파트,약간 불만족,주차공간 만족도,%,18.8
아파트,매우 불만족,주차공간 만족도,%,4.1
아파트,평균,주차공간 만족도,점,3.18
아파트,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,37.8
아파트,공영주차장 조성 확대,주차공간 만족도,,35.3
아파트,거주자 우선 주차제 시행,주차공간 만족도,,9
아파트,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,9.2
아파트,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4.8
아파트,차량 총량제 시행,주차공간 만족도,,3
다세대주택,매우 만족,주차공간 만족도,%,8.1
다세대주택,약간 만족,주차공간 만족도,%,28.5
다세대주택,보통이다,주차공간 만족도,%,31.5
다세대주택,약간 불만족,주차공간 만족도,%,27.9
다세대주택,매우 불만족,주차공간 만족도,%,4.1
다세대주택,평균,주차공간 만족도,점,3.09
다세대주택,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,56.1
다세대주택,공영주차장 조성 확대,주차공간 만족도,,18.4
다세대주택,거주자 우선 주차제 시행,주차공간 만족도,,11.1
다세대주택,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,6.9
다세대주택,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,1.9
다세대주택,차량 총량제 시행,주차공간 만족도,,4.4
연립주택,매우 만족,주차공간 만족도,%,7.7
연립주택,약간 만족,주차공간 만족도,%,25.3
연립주택,보통이다,주차공간 만족도,%,39.4
연립주택,약간 불만족,주차공간 만족도,%,18.1
연립주택,매우 불만족,주차공간 만족도,%,9.4
연립주택,평균,주차공간 만족도,점,3.04
연립주택,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,39.2
연립주택,공영주차장 조성 확대,주차공간 만족도,,28.2
연립주택,거주자 우선 주차제 시행,주차공간 만족도,,16.2
연립주택,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,6.6
연립주택,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,5.3
연립주택,차량 총량제 시행,주차공간 만족도,,3.4
기타,매우 만족,주차공간 만족도,%,9.2
기타,약간 만족,주차공간 만족도,%,47.6
기타,보통이다,주차공간 만족도,%,16.5
기타,약간 불만족,주차공간 만족도,%,22.3
기타,매우 불만족,주차공간 만족도,%,4.4
기타,평균,주차공간 만족도,점,3.35
기타,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,15.4
기타,공영주차장 조성 확대,주차공간 만족도,,42.7
기타,거주자 우선 주차제 시행,주차공간 만족도,,21.5
기타,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8
기타,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,12.4
기타,차량 총량제 시행,주차공간 만족도,,0
자기집,매우 만족,주차공간 만족도,%,12.5
자기집,약간 만족,주차공간 만족도,%,31.7
자기집,보통이다,주차공간 만족도,%,32.7
자기집,약간 불만족,주차공간 만족도,%,17.6
자기집,매우 불만족,주차공간 만족도,%,5.5
자기집,평균,주차공간 만족도,점,3.28
자기집,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,36.7
자기집,공영주차장 조성 확대,주차공간 만족도,,33.3
자기집,거주자 우선 주차제 시행,주차공간 만족도,,13
자기집,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,9.7
자기집,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4
자기집,차량 총량제 시행,주차공간 만족도,,2.5
전세,매우 만족,주차공간 만족도,%,10.9
전세,약간 만족,주차공간 만족도,%,34.1
전세,보통이다,주차공간 만족도,%,46.6
전세,약간 불만족,주차공간 만족도,%,7.2
전세,매우 불만족,주차공간 만족도,%,1.1
전세,평균,주차공간 만족도,점,3.46
전세,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,54.7
전세,공영주차장 조성 확대,주차공간 만족도,,27.7
전세,거주자 우선 주차제 시행,주차공간 만족도,,5
전세,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,4.1
전세,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,1
전세,차량 총량제 시행,주차공간 만족도,,6.8
보증금 있는 연/월세,매우 만족,주차공간 만족도,%,12.1
보증금 있는 연/월세,약간 만족,주차공간 만족도,%,28.3
보증금 있는 연/월세,보통이다,주차공간 만족도,%,39.9
보증금 있는 연/월세,약간 불만족,주차공간 만족도,%,15.5
보증금 있는 연/월세,매우 불만족,주차공간 만족도,%,4.3
보증금 있는 연/월세,평균,주차공간 만족도,점,3.28
보증금 있는 연/월세,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,42.8
보증금 있는 연/월세,공영주차장 조성 확대,주차공간 만족도,,33
보증금 있는 연/월세,거주자 우선 주차제 시행,주차공간 만족도,,10
보증금 있는 연/월세,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,6.6
보증금 있는 연/월세,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,3.3
보증금 있는 연/월세,차량 총량제 시행,주차공간 만족도,,3.1
보증금 없는 연/월세,매우 만족,주차공간 만족도,%,6.6
보증금 없는 연/월세,약간 만족,주차공간 만족도,%,26.3
보증금 없는 연/월세,보통이다,주차공간 만족도,%,24.5
보증금 없는 연/월세,약간 불만족,주차공간 만족도,%,31.3
보증금 없는 연/월세,매우 불만족,주차공간 만족도,%,11.3
보증금 없는 연/월세,평균,주차공간 만족도,점,2.85
보증금 없는 연/월세,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,25.9
보증금 없는 연/월세,공영주차장 조성 확대,주차공간 만족도,,29.9
보증금 없는 연/월세,거주자 우선 주차제 시행,주차공간 만족도,,9.2
보증금 없는 연/월세,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,10.3
보증금 없는 연/월세,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,12
보증금 없는 연/월세,차량 총량제 시행,주차공간 만족도,,8.4
무상 및 기타,매우 만족,주차공간 만족도,%,10.8
무상 및 기타,약간 만족,주차공간 만족도,%,40.7
무상 및 기타,보통이다,주차공간 만족도,%,25.3
무상 및 기타,약간 불만족,주차공간 만족도,%,14.5
무상 및 기타,매우 불만족,주차공간 만족도,%,8.7
무상 및 기타,평균,주차공간 만족도,점,3.3
무상 및 기타,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,34.8
무상 및 기타,공영주차장 조성 확대,주차공간 만족도,,26.6
무상 및 기타,거주자 우선 주차제 시행,주차공간 만족도,,16.3
무상 및 기타,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8.6
무상 및 기타,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,6.4
무상 및 기타,차량 총량제 시행,주차공간 만족도,,5
남자,매우 만족,주차공간 만족도,%,13
남자,약간 만족,주차공간 만족도,%,31.5
남자,보통이다,주차공간 만족도,%,30.6
남자,약간 불만족,주차공간 만족도,%,18.8
남자,매우 불만족,주차공간 만족도,%,6.1
남자,평균,주차공간 만족도,점,3.26
남자,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,34.5
남자,공영주차장 조성 확대,주차공간 만족도,,36.1
남자,거주자 우선 주차제 시행,주차공간 만족도,,12.9
남자,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8.6
남자,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,3.9
남자,차량 총량제 시행,주차공간 만족도,,3.4
여자,매우 만족,주차공간 만족도,%,9.7
여자,약간 만족,주차공간 만족도,%,30.8
여자,보통이다,주차공간 만족도,%,39.8
여자,약간 불만족,주차공간 만족도,%,15
여자,매우 불만족,주차공간 만족도,%,4.7
여자,평균,주차공간 만족도,점,3.26
여자,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,43.6
여자,공영주차장 조성 확대,주차공간 만족도,,26.1
여자,거주자 우선 주차제 시행,주차공간 만족도,,10
여자,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,9.1
여자,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,5.3
여자,차량 총량제 시행,주차공간 만족도,,3.3
15~19세,매우 만족,주차공간 만족도,%,0
15~19세,약간 만족,주차공간 만족도,%,100
15~19세,보통이다,주차공간 만족도,%,0
15~19세,약간 불만족,주차공간 만족도,%,0
15~19세,매우 불만족,주차공간 만족도,%,0
15~19세,평균,주차공간 만족도,점,4
20~29세,매우 만족,주차공간 만족도,%,4.1
20~29세,약간 만족,주차공간 만족도,%,29.4
20~29세,보통이다,주차공간 만족도,%,42.6
20~29세,약간 불만족,주차공간 만족도,%,22.3
20~29세,매우 불만족,주차공간 만족도,%,1.7
20~29세,평균,주차공간 만족도,점,3.12
20~29세,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,43.1
20~29세,공영주차장 조성 확대,주차공간 만족도,,15.4
20~29세,거주자 우선 주차제 시행,주차공간 만족도,,17.4
20~29세,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,14.3
20~29세,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4.4
20~29세,차량 총량제 시행,주차공간 만족도,,2.4
30~39세,매우 만족,주차공간 만족도,%,13.8
30~39세,약간 만족,주차공간 만족도,%,20.9
30~39세,보통이다,주차공간 만족도,%,39.3
30~39세,약간 불만족,주차공간 만족도,%,14.3
30~39세,매우 불만족,주차공간 만족도,%,11.8
30~39세,평균,주차공간 만족도,점,3.11
30~39세,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,33
30~39세,공영주차장 조성 확대,주차공간 만족도,,40.7
30~39세,거주자 우선 주차제 시행,주차공간 만족도,,9.1
30~39세,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,7.8
30~39세,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,2.2
30~39세,차량 총량제 시행,주차공간 만족도,,5.4
40~49세,매우 만족,주차공간 만족도,%,7.2
40~49세,약간 만족,주차공간 만족도,%,26.7
40~49세,보통이다,주차공간 만족도,%,42.6
40~49세,약간 불만족,주차공간 만족도,%,17.7
40~49세,매우 불만족,주차공간 만족도,%,5.8
40~49세,평균,주차공간 만족도,점,3.12
40~49세,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,49.1
40~49세,공영주차장 조성 확대,주차공간 만족도,,27.2
40~49세,거주자 우선 주차제 시행,주차공간 만족도,,10.5
40~49세,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,6.6
40~49세,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,3
40~49세,차량 총량제 시행,주차공간 만족도,,2.9
50~59세,매우 만족,주차공간 만족도,%,10.1
50~59세,약간 만족,주차공간 만족도,%,26.7
50~59세,보통이다,주차공간 만족도,%,33.6
50~59세,약간 불만족,주차공간 만족도,%,23.6
50~59세,매우 불만족,주차공간 만족도,%,6
50~59세,평균,주차공간 만족도,점,3.11
50~59세,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,35.7
50~59세,공영주차장 조성 확대,주차공간 만족도,,37.9
50~59세,거주자 우선 주차제 시행,주차공간 만족도,,11.3
50~59세,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,7.7
50~59세,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4.1
50~59세,차량 총량제 시행,주차공간 만족도,,2.6
60세 이상,매우 만족,주차공간 만족도,%,15.2
60세 이상,약간 만족,주차공간 만족도,%,37.9
60세 이상,보통이다,주차공간 만족도,%,28.4
60세 이상,약간 불만족,주차공간 만족도,%,14
60세 이상,매우 불만족,주차공간 만족도,%,4.5
60세 이상,평균,주차공간 만족도,점,3.45
60세 이상,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,32.3
60세 이상,공영주차장 조성 확대,주차공간 만족도,,30.8
60세 이상,거주자 우선 주차제 시행,주차공간 만족도,,13.5
60세 이상,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,11.1
60세 이상,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,6.2
60세 이상,차량 총량제 시행,주차공간 만족도,,4
초등학교 졸업이하,매우 만족,주차공간 만족도,%,16.3
초등학교 졸업이하,약간 만족,주차공간 만족도,%,42.6
초등학교 졸업이하,보통이다,주차공간 만족도,%,28.7
초등학교 졸업이하,약간 불만족,주차공간 만족도,%,9.3
초등학교 졸업이하,매우 불만족,주차공간 만족도,%,3.1
초등학교 졸업이하,평균,주차공간 만족도,점,3.6
초등학교 졸업이하,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,34.9
초등학교 졸업이하,공영주차장 조성 확대,주차공간 만족도,,28.7
초등학교 졸업이하,거주자 우선 주차제 시행,주차공간 만족도,,11.9
초등학교 졸업이하,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,9.5
초등학교 졸업이하,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,6.4
초등학교 졸업이하,차량 총량제 시행,주차공간 만족도,,4.9
중학교 졸업,매우 만족,주차공간 만족도,%,17.9
중학교 졸업,약간 만족,주차공간 만족도,%,31
중학교 졸업,보통이다,주차공간 만족도,%,28.5
중학교 졸업,약간 불만족,주차공간 만족도,%,19
중학교 졸업,매우 불만족,주차공간 만족도,%,3.5
중학교 졸업,평균,주차공간 만족도,점,3.41
중학교 졸업,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,27.4
중학교 졸업,공영주차장 조성 확대,주차공간 만족도,,39.1
중학교 졸업,거주자 우선 주차제 시행,주차공간 만족도,,14.1
중학교 졸업,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8
중학교 졸업,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,5.5
중학교 졸업,차량 총량제 시행,주차공간 만족도,,4.8
고등학교 졸업,매우 만족,주차공간 만족도,%,11.3
고등학교 졸업,약간 만족,주차공간 만족도,%,26.8
고등학교 졸업,보통이다,주차공간 만족도,%,37.1
고등학교 졸업,약간 불만족,주차공간 만족도,%,18.5
