특성별,현황별,항목,단위,2019 년
300~400만원 미만,보통,주차공간 만족도 및 문제해결,%,22.5
300~400만원 미만,약간 불만족,주차공간 만족도 및 문제해결,%,19.4
300~400만원 미만,매우 불만족,주차공간 만족도 및 문제해결,%,13.9
300~400만원 미만,5점 평균,주차공간 만족도 및 문제해결,점,3.15
300~400만원 미만,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,31.3
300~400만원 미만,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,20.2
300~400만원 미만,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,24.1
300~400만원 미만,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,10.1
300~400만원 미만,차량 총량제 시행,주차공간 만족도 및 문제해결,,4.1
300~400만원 미만,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,5
300~400만원 미만,차고지 증명제 실시,주차공간 만족도 및 문제해결,,2.2
300~400만원 미만,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2.2
300~400만원 미만,기타,주차공간 만족도 및 문제해결,,1
400~500만원 미만,매우 만족,주차공간 만족도 및 문제해결,%,22.1
400~500만원 미만,약간 만족,주차공간 만족도 및 문제해결,%,21.9
400~500만원 미만,보통,주차공간 만족도 및 문제해결,%,23.6
400~500만원 미만,약간 불만족,주차공간 만족도 및 문제해결,%,19.4
400~500만원 미만,매우 불만족,주차공간 만족도 및 문제해결,%,13.1
400~500만원 미만,5점 평균,주차공간 만족도 및 문제해결,점,3.2
400~500만원 미만,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,32.9
400~500만원 미만,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,21.1
400~500만원 미만,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,16.7
400~500만원 미만,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,12
400~500만원 미만,차량 총량제 시행,주차공간 만족도 및 문제해결,,6.3
400~500만원 미만,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,1.9
400~500만원 미만,차고지 증명제 실시,주차공간 만족도 및 문제해결,,5.1
400~500만원 미만,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.3
400~500만원 미만,기타,주차공간 만족도 및 문제해결,,2.7
500~600만원 미만,매우 만족,주차공간 만족도 및 문제해결,%,24
500~600만원 미만,약간 만족,주차공간 만족도 및 문제해결,%,22.6
500~600만원 미만,보통,주차공간 만족도 및 문제해결,%,17.9
500~600만원 미만,약간 불만족,주차공간 만족도 및 문제해결,%,20.2
500~600만원 미만,매우 불만족,주차공간 만족도 및 문제해결,%,15.2
500~600만원 미만,5점 평균,주차공간 만족도 및 문제해결,점,3.2
500~600만원 미만,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,35.2
500~600만원 미만,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,18.3
500~600만원 미만,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,27.1
500~600만원 미만,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,9.1
500~600만원 미만,차량 총량제 시행,주차공간 만족도 및 문제해결,,7
500~600만원 미만,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,-
500~600만원 미만,차고지 증명제 실시,주차공간 만족도 및 문제해결,,-
500~600만원 미만,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2
500~600만원 미만,기타,주차공간 만족도 및 문제해결,,1.3
600~700만원 미만,매우 만족,주차공간 만족도 및 문제해결,%,10.9
600~700만원 미만,약간 만족,주차공간 만족도 및 문제해결,%,23.9
600~700만원 미만,보통,주차공간 만족도 및 문제해결,%,26.2
600~700만원 미만,약간 불만족,주차공간 만족도 및 문제해결,%,17.9
600~700만원 미만,매우 불만족,주차공간 만족도 및 문제해결,%,21.2
600~700만원 미만,5점 평균,주차공간 만족도 및 문제해결,점,2.85
600~700만원 미만,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,37.5
600~700만원 미만,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,27.7
600~700만원 미만,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,4.3
600~700만원 미만,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,12.3
600~700만원 미만,차량 총량제 시행,주차공간 만족도 및 문제해결,,3.5
600~700만원 미만,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,2.6
600~700만원 미만,차고지 증명제 실시,주차공간 만족도 및 문제해결,,-
600~700만원 미만,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,-
600~700만원 미만,기타,주차공간 만족도 및 문제해결,,12.2
700~800만원 미만,매우 만족,주차공간 만족도 및 문제해결,%,22.9
700~800만원 미만,약간 만족,주차공간 만족도 및 문제해결,%,21.4
700~800만원 미만,보통,주차공간 만족도 및 문제해결,%,18.4
700~800만원 미만,약간 불만족,주차공간 만족도 및 문제해결,%,23.8
700~800만원 미만,매우 불만족,주차공간 만족도 및 문제해결,%,13.4
700~800만원 미만,5점 평균,주차공간 만족도 및 문제해결,점,3.17
700~800만원 미만,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,41.2
700~800만원 미만,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,39
700~800만원 미만,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,7.6
700~800만원 미만,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,4.6
700~800만원 미만,차량 총량제 시행,주차공간 만족도 및 문제해결,,6.6
700~800만원 미만,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,1.1
700~800만원 미만,차고지 증명제 실시,주차공간 만족도 및 문제해결,,-
700~800만원 미만,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,-
700~800만원 미만,기타,주차공간 만족도 및 문제해결,,-
800만원 이상,매우 만족,주차공간 만족도 및 문제해결,%,19.9
800만원 이상,약간 만족,주차공간 만족도 및 문제해결,%,31.4
800만원 이상,보통,주차공간 만족도 및 문제해결,%,28.5
800만원 이상,약간 불만족,주차공간 만족도 및 문제해결,%,14.5
800만원 이상,매우 불만족,주차공간 만족도 및 문제해결,%,5.6
800만원 이상,5점 평균,주차공간 만족도 및 문제해결,점,3.45
800만원 이상,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,33
800만원 이상,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,35
800만원 이상,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,-
800만원 이상,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,1.7
800만원 이상,차량 총량제 시행,주차공간 만족도 및 문제해결,,4.5
800만원 이상,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,7.9
800만원 이상,차고지 증명제 실시,주차공간 만족도 및 문제해결,,3.4
800만원 이상,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,14.6
800만원 이상,기타,주차공간 만족도 및 문제해결,,-
단독주택,매우 만족,주차공간 만족도 및 문제해결,%,26.2
단독주택,약간 만족,주차공간 만족도 및 문제해결,%,26.4
단독주택,보통,주차공간 만족도 및 문제해결,%,28.7
단독주택,약간 불만족,주차공간 만족도 및 문제해결,%,11
단독주택,매우 불만족,주차공간 만족도 및 문제해결,%,7.7
단독주택,5점 평균,주차공간 만족도 및 문제해결,점,3.52
단독주택,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,36.9
단독주택,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,23.4
단독주택,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,16.9
단독주택,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,9.8
단독주택,차량 총량제 시행,주차공간 만족도 및 문제해결,,3
단독주택,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,6
단독주택,차고지 증명제 실시,주차공간 만족도 및 문제해결,,1
단독주택,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2.2
단독주택,기타,주차공간 만족도 및 문제해결,,0.9
아파트,매우 만족,주차공간 만족도 및 문제해결,%,15.8
아파트,약간 만족,주차공간 만족도 및 문제해결,%,22.1
아파트,보통,주차공간 만족도 및 문제해결,%,29.8
아파트,약간 불만족,주차공간 만족도 및 문제해결,%,22
아파트,매우 불만족,주차공간 만족도 및 문제해결,%,10.4
아파트,5점 평균,주차공간 만족도 및 문제해결,점,3.11
아파트,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,32.3
아파트,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,21.4
아파트,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,14.3
아파트,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,14.7
아파트,차량 총량제 시행,주차공간 만족도 및 문제해결,,5.6
아파트,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,2.3
아파트,차고지 증명제 실시,주차공간 만족도 및 문제해결,,3.5
아파트,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2.2
아파트,기타,주차공간 만족도 및 문제해결,,3.7
연립주택,매우 만족,주차공간 만족도 및 문제해결,%,11.3
연립주택,약간 만족,주차공간 만족도 및 문제해결,%,32.1
연립주택,보통,주차공간 만족도 및 문제해결,%,26.5
연립주택,약간 불만족,주차공간 만족도 및 문제해결,%,13.8
연립주택,매우 불만족,주차공간 만족도 및 문제해결,%,16.3
연립주택,5점 평균,주차공간 만족도 및 문제해결,점,3.08
연립주택,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,38.5
연립주택,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,25.3
연립주택,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,23.6
연립주택,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,1.5
연립주택,차량 총량제 시행,주차공간 만족도 및 문제해결,,6.1
연립주택,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,1.2
연립주택,차고지 증명제 실시,주차공간 만족도 및 문제해결,,3.4
연립주택,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,0.4
연립주택,기타,주차공간 만족도 및 문제해결,,-
다세대주택,매우 만족,주차공간 만족도 및 문제해결,%,18.9
다세대주택,약간 만족,주차공간 만족도 및 문제해결,%,30.3
다세대주택,보통,주차공간 만족도 및 문제해결,%,27.8
다세대주택,약간 불만족,주차공간 만족도 및 문제해결,%,11.4
다세대주택,매우 불만족,주차공간 만족도 및 문제해결,%,11.7
다세대주택,5점 평균,주차공간 만족도 및 문제해결,점,3.33
다세대주택,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,31.7
다세대주택,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,26.5
다세대주택,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,15.3
다세대주택,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,12.9
다세대주택,차량 총량제 시행,주차공간 만족도 및 문제해결,,1.7
다세대주택,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,4.8
다세대주택,차고지 증명제 실시,주차공간 만족도 및 문제해결,,-
다세대주택,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,7
다세대주택,기타,주차공간 만족도 및 문제해결,,-
기타,매우 만족,주차공간 만족도 및 문제해결,%,15.9
기타,약간 만족,주차공간 만족도 및 문제해결,%,17.7
기타,보통,주차공간 만족도 및 문제해결,%,39
기타,약간 불만족,주차공간 만족도 및 문제해결,%,12.6
기타,매우 불만족,주차공간 만족도 및 문제해결,%,14.9
기타,5점 평균,주차공간 만족도 및 문제해결,점,3.07
기타,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,40
기타,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,13.1
기타,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,29.3
기타,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,12.9
기타,차량 총량제 시행,주차공간 만족도 및 문제해결,,4.7
기타,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,-
기타,차고지 증명제 실시,주차공간 만족도 및 문제해결,,-
기타,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,-
기타,기타,주차공간 만족도 및 문제해결,,-
자기집,매우 만족,주차공간 만족도 및 문제해결,%,21.6
자기집,약간 만족,주차공간 만족도 및 문제해결,%,26.3
자기집,보통,주차공간 만족도 및 문제해결,%,27.6
자기집,약간 불만족,주차공간 만족도 및 문제해결,%,14.3
자기집,매우 불만족,주차공간 만족도 및 문제해결,%,10.2
자기집,5점 평균,주차공간 만족도 및 문제해결,점,3.35
자기집,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,34.4
자기집,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,23.4
자기집,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,17.7
자기집,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,11
자기집,차량 총량제 시행,주차공간 만족도 및 문제해결,,3.9
자기집,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,4.3
자기집,차고지 증명제 실시,주차공간 만족도 및 문제해결,,1.4
자기집,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.5
자기집,기타,주차공간 만족도 및 문제해결,,2.5
전세,매우 만족,주차공간 만족도 및 문제해결,%,9.3
전세,약간 만족,주차공간 만족도 및 문제해결,%,37.2
전세,보통,주차공간 만족도 및 문제해결,%,31.1
전세,약간 불만족,주차공간 만족도 및 문제해결,%,10.7
전세,매우 불만족,주차공간 만족도 및 문제해결,%,11.7
전세,5점 평균,주차공간 만족도 및 문제해결,점,3.22
전세,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,22.3
전세,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,30.9
전세,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,17.4
전세,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,11.5
전세,차량 총량제 시행,주차공간 만족도 및 문제해결,,8.5
전세,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,-
전세,차고지 증명제 실시,주차공간 만족도 및 문제해결,,9.5
전세,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,-
전세,기타,주차공간 만족도 및 문제해결,,-
보증금 있는 연/월세,매우 만족,주차공간 만족도 및 문제해결,%,17.9
보증금 있는 연/월세,약간 만족,주차공간 만족도 및 문제해결,%,23.4
보증금 있는 연/월세,보통,주차공간 만족도 및 문제해결,%,27.7
보증금 있는 연/월세,약간 불만족,주차공간 만족도 및 문제해결,%,19.9
보증금 있는 연/월세,매우 불만족,주차공간 만족도 및 문제해결,%,11.1
보증금 있는 연/월세,5점 평균,주차공간 만족도 및 문제해결,점,3.17
